"Survived","Pclass","Sex","Age","Title","SibSp","Parch","FareFamily","CabinLevel","CabinSide","Embarked","MissingAge"
0,"3","male",22,"Mr",1,0,3.625,"none","none","S",0
1,"1","female",38,"Mrs",1,0,35.64165,"C","starboard","C",0
1,"3","female",26,"Miss",0,0,7.925,"none","none","S",0
1,"1","female",35,"Mrs",1,0,26.55,"C","starboard","S",0
0,"3","male",35,"Mr",0,0,8.05,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,8.4583,"none","none","Q",1
0,"1","male",54,"Mr",0,0,51.8625,"E","port","S",0
0,"3","male",2,"Master",3,1,4.215,"none","none","S",0
1,"3","female",27,"Mrs",0,2,3.7111,"none","none","S",0
1,"2","female",14,"Mrs",1,0,15.0354,"none","none","C",0
1,"3","female",4,"Miss",1,1,5.56666666666667,"G","port","S",0
1,"1","female",58,"Miss",0,0,26.55,"C","starboard","S",0
0,"3","male",20,"Mr",0,0,8.05,"none","none","S",0
0,"3","male",39,"Mr",1,5,4.46785714285714,"none","none","S",0
0,"3","female",14,"Miss",0,0,7.8542,"none","none","S",0
1,"2","female",55,"Mrs",0,0,16,"none","none","S",0
0,"3","male",2,"Master",4,1,4.85416666666667,"none","none","Q",0
1,"2","male",29.68,"Mr",0,0,13,"none","none","S",1
0,"3","female",31,"Mrs",1,0,9,"none","none","S",0
1,"3","female",31.48,"Mrs",0,0,7.225,"none","none","C",1
0,"2","male",35,"Mr",0,0,26,"none","none","S",0
1,"2","male",34,"Mr",0,0,13,"D","port","S",0
1,"3","female",15,"Miss",0,0,8.0292,"none","none","Q",0
1,"1","male",28,"Mr",0,0,35.5,"A","port","S",0
0,"3","female",8,"Miss",3,1,4.215,"none","none","S",0
1,"3","female",38,"Mrs",1,5,4.48392857142857,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,7.225,"none","none","C",1
0,"1","male",19,"Mr",3,2,43.8333333333333,"C","starboard","S",0
1,"3","female",21.96,"Miss",0,0,7.8792,"none","none","Q",1
0,"3","male",28.08,"Mr",0,0,7.8958,"none","none","S",1
0,"1","male",40,"OtherMale",0,0,27.7208,"none","none","C",0
1,"1","female",35.64,"Mrs",1,0,73.2604,"B","port","C",1
1,"3","female",21.96,"Miss",0,0,7.75,"none","none","Q",1
0,"2","male",66,"Mr",0,0,10.5,"none","none","S",0
0,"1","male",28,"Mr",1,0,41.0854,"none","none","C",0
0,"1","male",42,"Mr",1,0,26,"none","none","S",0
1,"3","male",28.08,"Mr",0,0,7.2292,"none","none","C",1
0,"3","male",21,"Mr",0,0,8.05,"none","none","S",0
0,"3","female",18,"Miss",2,0,6,"none","none","S",0
1,"3","female",14,"Miss",1,0,5.62085,"none","none","C",0
0,"3","female",40,"Mrs",1,0,4.7375,"none","none","S",0
0,"2","female",27,"Mrs",1,0,10.5,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,7.8958,"none","none","C",1
1,"2","female",3,"Miss",1,2,10.3948,"none","none","C",0
1,"3","female",19,"Miss",0,0,7.8792,"none","none","Q",0
0,"3","male",28.08,"Mr",0,0,8.05,"none","none","S",1
0,"3","male",28.08,"Mr",1,0,7.75,"none","none","Q",1
1,"3","female",21.96,"Miss",0,0,7.75,"none","none","Q",1
0,"3","male",28.08,"Mr",2,0,7.2264,"none","none","C",1
0,"3","female",18,"Mrs",1,0,8.9,"none","none","S",0
0,"3","male",7,"Master",4,1,6.61458333333333,"none","none","S",0
0,"3","male",21,"Mr",0,0,7.8,"none","none","S",0
1,"1","female",49,"Mrs",1,0,38.3646,"D","starboard","C",0
1,"2","female",29,"Mrs",1,0,13,"none","none","S",0
0,"1","male",65,"Mr",0,1,30.9896,"B","port","C",0
1,"1","male",32.24,"Mr",0,0,35.5,"C","port","S",1
1,"2","female",21,"Miss",0,0,10.5,"none","none","S",0
0,"3","male",28.5,"Mr",0,0,7.2292,"none","none","C",0
1,"2","female",5,"Miss",1,2,6.9375,"none","none","S",0
0,"3","male",11,"Master",5,2,5.8625,"none","none","S",0
0,"3","male",22,"Mr",0,0,7.2292,"none","none","C",0
1,"1","female",38,"Miss",0,0,80,"B","port","S",0
0,"1","male",45,"Mr",1,0,41.7375,"C","starboard","S",0
0,"3","male",4,"Master",3,2,4.65,"none","none","S",0
0,"1","male",32.24,"Mr",0,0,27.7208,"none","none","C",1
1,"3","male",10.06,"Master",1,1,5.08193333333333,"none","none","C",1
1,"2","female",29,"Mrs",0,0,10.5,"F","starboard","S",0
0,"3","male",19,"Mr",0,0,8.1583,"none","none","S",0
1,"3","female",17,"Miss",4,2,1.13214285714286,"none","none","S",0
0,"3","male",26,"Mr",2,0,2.8875,"none","none","S",0
0,"2","male",32,"Mr",0,0,10.5,"none","none","S",0
0,"3","female",16,"Miss",5,2,5.8625,"none","none","S",0
0,"2","male",21,"Mr",0,0,73.5,"none","none","S",0
0,"3","male",26,"Mr",1,0,7.2271,"none","none","C",0
1,"3","male",32,"Mr",0,0,56.4958,"none","none","S",0
0,"3","male",25,"Mr",0,0,7.65,"F","starboard","S",0
0,"3","male",28.08,"Mr",0,0,7.8958,"none","none","S",1
0,"3","male",28.08,"Mr",0,0,8.05,"none","none","S",1
1,"2","male",0.83,"Master",0,2,9.66666666666667,"none","none","S",0
1,"3","female",30,"Miss",0,0,12.475,"none","none","S",0
0,"3","male",22,"Mr",0,0,9,"none","none","S",0
1,"3","male",29,"Mr",0,0,9.5,"none","none","S",0
1,"3","female",21.96,"Miss",0,0,7.7875,"none","none","Q",1
0,"1","male",28,"Mr",0,0,47.1,"none","none","S",0
1,"2","female",17,"Miss",0,0,10.5,"none","none","S",0
1,"3","female",33,"Mrs",3,0,3.9625,"none","none","S",0
0,"3","male",16,"Mr",1,3,6.875,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,8.05,"none","none","S",1
1,"1","female",23,"Miss",3,2,43.8333333333333,"C","starboard","S",0
0,"3","male",24,"Mr",0,0,8.05,"none","none","S",0
0,"3","male",29,"Mr",0,0,8.05,"none","none","S",0
0,"3","male",20,"Mr",0,0,7.8542,"none","none","S",0
0,"1","male",46,"Mr",1,0,30.5875,"E","starboard","S",0
0,"3","male",26,"Mr",1,2,5.14375,"none","none","S",0
0,"3","male",59,"Mr",0,0,7.25,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,8.05,"none","none","S",1
0,"1","male",71,"Mr",0,0,34.6542,"A","starboard","C",0
1,"1","male",23,"Mr",0,1,31.67915,"D","port","C",0
1,"2","female",34,"Mrs",0,1,11.5,"none","none","S",0
0,"2","male",34,"Mr",1,0,13,"none","none","S",0
0,"3","female",28,"Miss",0,0,7.8958,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,7.8958,"none","none","S",1
0,"1","male",21,"Mr",0,1,38.64375,"D","port","S",0
0,"3","male",33,"Mr",0,0,8.6542,"none","none","S",0
0,"3","male",37,"Mr",2,0,2.64166666666667,"none","none","S",0
0,"3","male",28,"Mr",0,0,7.8958,"none","none","S",0
1,"3","female",21,"Miss",0,0,7.65,"none","none","S",0
1,"3","male",28.08,"Mr",0,0,7.775,"none","none","S",1
0,"3","male",38,"Mr",0,0,7.8958,"none","none","S",0
1,"3","female",21.96,"Miss",1,0,12.075,"none","none","Q",1
0,"1","male",47,"Mr",0,0,52,"C","port","S",0
0,"3","female",14.5,"Miss",1,0,7.2271,"none","none","C",0
0,"3","male",22,"Mr",0,0,8.05,"none","none","S",0
0,"3","female",20,"Miss",1,0,4.9125,"none","none","S",0
0,"3","female",17,"Miss",0,0,14.4583,"none","none","C",0
0,"3","male",21,"Mr",0,0,7.925,"none","none","S",0
0,"3","male",70.5,"Mr",0,0,7.75,"none","none","Q",0
0,"2","male",29,"Mr",1,0,10.5,"none","none","S",0
0,"1","male",24,"Mr",0,1,123.7604,"B","port","C",0
0,"3","female",2,"Miss",4,2,4.46785714285714,"none","none","S",0
0,"2","male",21,"Mr",2,0,24.5,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,8.05,"none","none","S",1
0,"2","male",32.5,"Mr",1,0,15.0354,"none","none","C",0
1,"2","female",32.5,"Miss",0,0,13,"E","starboard","S",0
0,"1","male",54,"Mr",0,1,38.64375,"D","port","S",0
1,"3","male",12,"Master",1,0,5.62085,"none","none","C",0
0,"3","male",28.08,"Mr",0,0,7.75,"none","none","Q",1
1,"3","male",24,"Mr",0,0,7.1417,"none","none","S",0
1,"3","female",21.96,"Miss",1,1,7.45276666666667,"F","starboard","C",1
0,"3","male",45,"Mr",0,0,6.975,"none","none","S",0
0,"3","male",33,"Mr",0,0,7.8958,"none","none","C",0
0,"3","male",20,"Mr",0,0,7.05,"none","none","S",0
0,"3","female",47,"Mrs",1,0,7.25,"none","none","S",0
1,"2","female",29,"Mrs",1,0,13,"none","none","S",0
0,"2","male",25,"Mr",0,0,13,"none","none","S",0
0,"2","male",23,"Mr",0,0,15.0458,"none","none","C",0
1,"1","female",19,"Miss",0,2,8.7611,"D","starboard","S",0
0,"1","male",37,"Mr",1,0,26.55,"C","starboard","S",0
0,"3","male",16,"Mr",0,0,9.2167,"none","none","S",0
0,"1","male",24,"Mr",0,0,79.2,"B","port","C",0
0,"3","female",31.48,"Mrs",0,2,5.08193333333333,"none","none","C",1
1,"3","female",22,"Miss",0,0,7.75,"none","none","S",0
1,"3","female",24,"Mrs",1,0,7.925,"none","none","S",0
0,"3","male",19,"Mr",0,0,6.75,"none","none","Q",0
0,"2","male",18,"Mr",0,0,11.5,"none","none","S",0
0,"2","male",19,"Mr",1,1,12.25,"none","none","S",0
1,"3","male",27,"Mr",0,0,7.7958,"none","none","S",0
0,"3","female",9,"Miss",2,2,6.875,"none","none","S",0
0,"2","male",36.5,"Mr",0,2,8.66666666666667,"F","port","S",0
0,"2","male",42,"Rev",0,0,13,"none","none","S",0
0,"2","male",51,"Rev",0,0,12.525,"none","none","S",0
1,"1","female",22,"Mrs",1,0,33.3,"C","port","S",0
0,"3","male",55.5,"Mr",0,0,8.05,"none","none","S",0
0,"3","male",40.5,"Mr",0,2,4.83333333333333,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,7.3125,"none","none","S",1
0,"1","male",51,"Mr",0,1,30.6896,"none","none","C",0
1,"3","female",16,"Miss",0,0,7.7333,"none","none","Q",0
0,"3","male",30,"Mr",0,0,8.05,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,8.6625,"none","none","S",1
0,"3","male",10.06,"Master",8,2,6.32272727272727,"none","none","S",1
0,"3","male",44,"Mr",0,1,8.05,"none","none","S",0
1,"2","female",40,"Mrs",0,0,15.75,"none","none","S",0
0,"3","male",26,"Mr",0,0,7.775,"none","none","S",0
0,"3","male",17,"Mr",0,0,8.6625,"none","none","S",0
0,"3","male",1,"Master",4,1,6.61458333333333,"none","none","S",0
1,"3","male",9,"Master",0,2,6.84166666666667,"none","none","S",0
1,"1","female",35.64,"Mrs",0,1,27.5,"E","starboard","S",1
0,"3","female",45,"Mrs",1,4,4.65,"none","none","S",0
0,"1","male",32.24,"Mr",0,0,25.925,"none","none","S",1
0,"3","male",28,"Mr",0,0,56.4958,"none","none","S",0
0,"1","male",61,"Mr",0,0,33.5,"B","starboard","S",0
0,"3","male",4,"Master",4,1,4.85416666666667,"none","none","Q",0
1,"3","female",1,"Miss",1,1,3.7111,"none","none","S",0
0,"3","male",21,"Mr",0,0,7.925,"none","none","S",0
0,"1","male",56,"Mr",0,0,30.6958,"A","starboard","C",0
0,"3","male",18,"Mr",1,1,2.61806666666667,"none","none","S",0
0,"3","male",10.06,"Master",3,1,5.09334,"none","none","S",1
0,"1","female",50,"Miss",0,0,28.7125,"C","starboard","C",0
0,"2","male",30,"Mr",0,0,13,"none","none","S",0
0,"3","male",36,"Mr",0,0,0,"none","none","S",0
0,"3","female",21.96,"Miss",8,2,6.32272727272727,"none","none","S",1
0,"2","male",29.68,"Mr",0,0,15.05,"none","none","C",1
0,"3","male",9,"Master",4,2,4.48392857142857,"none","none","S",0
1,"2","male",1,"Master",2,1,9.75,"F","port","S",0
1,"3","female",4,"Miss",0,2,7.34166666666667,"none","none","S",0
0,"1","male",32.24,"Mr",0,0,50,"A","port","S",1
1,"3","female",31.48,"Mrs",1,0,7.75,"none","none","Q",1
1,"1","male",45,"Mr",0,0,26.55,"none","none","S",0
0,"3","male",40,"Mr",1,1,5.16666666666667,"none","none","Q",0
0,"3","male",36,"Mr",0,0,7.8958,"none","none","S",0
1,"2","female",32,"Mrs",0,0,13,"none","none","S",0
0,"2","male",19,"Mr",0,0,13,"none","none","S",0
1,"3","female",19,"Miss",1,0,3.9271,"none","none","S",0
1,"2","male",3,"Master",1,1,8.66666666666667,"F","port","S",0
1,"1","female",44,"Mrs",0,0,27.7208,"B","port","C",0
1,"1","female",58,"Miss",0,0,146.5208,"B","port","C",0
0,"3","male",28.08,"Mr",0,0,7.75,"none","none","Q",1
0,"3","male",42,"Mr",0,1,4.2021,"none","none","S",0
1,"3","female",21.96,"Miss",0,0,7.75,"none","none","Q",1
0,"2","female",24,"Miss",0,0,13,"none","none","S",0
0,"3","male",28,"Mr",0,0,9.5,"none","none","S",0
0,"3","male",28.08,"Mr",8,2,6.32272727272727,"none","none","S",1
0,"3","male",34,"Mr",0,0,6.4958,"none","none","S",0
0,"3","male",45.5,"Mr",0,0,7.225,"none","none","C",0
1,"3","male",18,"Mr",0,0,8.05,"none","none","S",0
0,"3","female",2,"Miss",0,1,5.23125,"G","port","S",0
0,"3","male",32,"Mr",1,0,7.925,"none","none","S",0
1,"3","male",26,"Mr",0,0,18.7875,"none","none","C",0
1,"3","female",16,"Miss",0,0,7.75,"none","none","Q",0
1,"1","male",40,"Mr",0,0,31,"A","starboard","C",0
0,"3","male",24,"Mr",0,0,7.05,"none","none","S",0
1,"2","female",35,"Miss",0,0,21,"none","none","S",0
0,"3","male",22,"Mr",0,0,7.25,"none","none","S",0
0,"2","male",30,"Mr",0,0,13,"none","none","S",0
0,"3","male",28.08,"Mr",1,0,3.875,"none","none","Q",1
1,"1","female",31,"Miss",1,0,56.6375,"D","port","C",0
1,"3","female",27,"Miss",0,0,7.925,"none","none","S",0
0,"2","male",42,"Mr",1,0,13.5,"none","none","S",0
1,"1","female",32,"Miss",0,0,76.2917,"D","starboard","C",0
0,"2","male",30,"Mr",0,0,10.5,"none","none","S",0
1,"3","male",16,"Mr",0,0,8.05,"none","none","S",0
0,"2","male",27,"Mr",0,0,13,"none","none","S",0
0,"3","male",51,"Mr",0,0,8.05,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,7.8958,"none","none","S",1
1,"1","male",38,"Mr",1,0,45,"C","starboard","S",0
0,"3","male",22,"Mr",0,0,9.35,"none","none","S",0
1,"2","male",19,"Mr",0,0,10.5,"none","none","S",0
0,"3","male",20.5,"Mr",0,0,7.25,"none","none","S",0
0,"2","male",18,"Mr",0,0,13,"none","none","S",0
0,"3","female",21.96,"Miss",3,1,5.09334,"none","none","S",1
1,"1","female",35,"Mrs",1,0,41.7375,"C","starboard","S",0
0,"3","male",29,"Mr",0,0,7.775,"none","none","S",0
0,"2","male",59,"Mr",0,0,13.5,"none","none","S",0
1,"3","female",5,"Miss",4,2,4.48392857142857,"none","none","S",0
0,"2","male",24,"Mr",0,0,10.5,"none","none","S",0
0,"3","female",21.96,"Miss",0,0,7.55,"none","none","S",1
0,"2","male",44,"Mr",1,0,13,"none","none","S",0
1,"2","female",8,"Miss",0,2,8.75,"none","none","S",0
0,"2","male",19,"Mr",0,0,10.5,"none","none","S",0
0,"2","male",33,"Mr",0,0,12.275,"none","none","S",0
0,"3","female",21.96,"Miss",1,0,7.2271,"none","none","C",1
1,"3","female",21.96,"Miss",1,0,7.75,"none","none","Q",1
0,"2","male",29,"Mr",0,0,10.5,"none","none","S",0
0,"3","male",22,"Mr",0,0,7.125,"none","none","S",0
0,"3","male",30,"Mr",0,0,7.225,"none","none","C",0
0,"1","male",44,"OtherMale",2,0,30,"C","port","Q",0
0,"3","female",25,"Miss",0,0,7.775,"none","none","S",0
1,"2","female",24,"Mrs",0,2,4.83333333333333,"none","none","S",0
1,"1","male",37,"Mr",1,1,17.5180666666667,"D","starboard","S",0
0,"2","male",54,"Rev",1,0,13,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,7.25,"none","none","S",1
0,"3","female",29,"Mrs",1,1,3.4875,"G","port","S",0
0,"1","male",62,"Mr",0,0,26.55,"C","starboard","S",0
0,"3","male",30,"Mr",1,0,8.05,"none","none","S",0
0,"3","female",41,"Mrs",0,2,6.7375,"none","none","S",0
1,"3","female",29,"Mrs",0,2,5.08193333333333,"none","none","C",0
1,"1","female",35.64,"Mrs",0,0,79.2,"none","none","C",1
1,"1","female",30,"Miss",0,0,86.5,"B","starboard","S",0
1,"1","female",35,"Miss",0,0,512.3292,"none","none","C",0
1,"2","female",50,"Mrs",0,1,13,"none","none","S",0
0,"3","male",28.08,"Mr",0,0,7.75,"none","none","Q",1
1,"3","male",3,"Master",4,2,4.48392857142857,"none","none","S",0
0,"1","male",52,"Mr",1,1,26.55,"E","starboard","S",0
0,"1","male",40,"Mr",0,0,0,"B","port","S",0
0,"3","female",21.96,"Miss",0,0,7.75,"none","none","Q",1
0,"2","male",36,"Mr",0,0,10.5,"none","none","S",0
0,"3","male",16,"Mr",4,1,6.61458333333333,"none","none","S",0
1,"3","male",25,"Mr",1,0,3.8875,"none","none","S",0
1,"1","female",58,"Mrs",0,1,76.73125,"C","starboard","S",0
1,"1","female",35,"Miss",0,0,135.6333,"C","starboard","S",0
0,"1","male",32.24,"Mr",0,0,31,"none","none","S",1
1,"3","male",25,"Mr",0,0,0,"none","none","S",0
1,"2","female",41,"Mrs",0,1,9.75,"none","none","S",0
0,"1","male",37,"Mr",0,1,14.85,"C","port","C",0
1,"3","female",21.96,"Miss",0,0,7.75,"none","none","Q",1
1,"1","female",63,"Miss",1,0,38.97915,"D","starboard","S",0
0,"3","female",45,"Miss",0,0,7.75,"none","none","S",0
0,"2","male",29.68,"Mr",0,0,0,"none","none","S",1
0,"3","male",7,"Master",4,1,4.85416666666667,"none","none","Q",0
1,"3","female",35,"Mrs",1,1,6.75,"none","none","S",0
0,"3","male",65,"Mr",0,0,7.75,"none","none","Q",0
0,"3","male",28,"Mr",0,0,7.8542,"none","none","S",0
0,"3","male",16,"Mr",0,0,9.5,"none","none","S",0
1,"3","male",19,"Mr",0,0,8.05,"none","none","S",0
0,"1","male",32.24,"Mr",0,0,26,"A","starboard","S",1
0,"3","male",33,"Mr",0,0,8.6625,"none","none","C",0
1,"3","male",30,"Mr",0,0,9.5,"none","none","S",0
0,"3","male",22,"Mr",0,0,7.8958,"none","none","S",0
1,"2","male",42,"Mr",0,0,13,"none","none","S",0
1,"3","female",22,"Miss",0,0,7.75,"none","none","Q",0
1,"1","female",26,"Miss",0,0,78.85,"none","none","S",0
1,"1","female",19,"Mrs",1,0,45.5396,"B","starboard","C",0
0,"2","male",36,"Mr",0,0,12.875,"D","none","C",0
